2778.3686 	DATA 	Keypress: 4
2779.0019 	DATA 	Keypress: 4
2779.6272 	DATA 	Keypress: 4
2781.5277 	DATA 	Keypress: 1
2781.5359 	EXP 	unnamed TextStim: text = 'trial 123 / 144'
2783.5456 	EXP 	Sound  started
2794.7580 	DATA 	Keypress: 4
2795.3916 	DATA 	Keypress: 4
2796.0503 	DATA 	Keypress: 4
2796.7088 	DATA 	Keypress: 4
2797.3340 	DATA 	Keypress: 4
2797.9592 	DATA 	Keypress: 4
2798.6929 	DATA 	Keypress: 4
2800.0601 	DATA 	Keypress: 3
2800.0681 	EXP 	unnamed TextStim: text = 'trial 124 / 144'
2802.0777 	EXP 	Sound  started
2812.1313 	DATA 	Keypress: 4
2812.8149 	DATA 	Keypress: 4
2813.5069 	DATA 	Keypress: 4
2814.1988 	DATA 	Keypress: 4
2814.8574 	DATA 	Keypress: 4
2815.5576 	DATA 	Keypress: 4
2816.2079 	DATA 	Keypress: 4
2816.9165 	DATA 	Keypress: 4
2819.1256 	DATA 	Keypress: 3
2819.1337 	EXP 	unnamed TextStim: text = 'trial 125 / 144'
2821.1434 	EXP 	Sound  started
2831.1553 	DATA 	Keypress: 4
2831.8222 	DATA 	Keypress: 4
2832.4308 	DATA 	Keypress: 4
2833.0560 	DATA 	Keypress: 4
2833.6730 	DATA 	Keypress: 4
2834.2982 	DATA 	Keypress: 4
2834.9067 	DATA 	Keypress: 4
2835.6321 	DATA 	Keypress: 4
2838.1579 	DATA 	Keypress: 2
2838.1660 	EXP 	unnamed TextStim: text = 'trial 126 / 144'
2840.1758 	EXP 	Sound  started
2851.6715 	DATA 	Keypress: 4
2852.2718 	DATA 	Keypress: 4
2852.9053 	DATA 	Keypress: 4
